method,noise,algo,gd,ri,region,gradient_deviation,reversal_index
reversing_hierarchy,0.1,reversal_detector,,,Rubix_2_2_2_2,6.213068906510111,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_2_2_2_3,7.8802863972821156,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_2_2_3_2,1.9239313851693753,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_2_2_3_3,1.689680402392851,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_2_3_2_2,6.157850554566553,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_2_3_2_3,7.912310971742453,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_2_3_3_2,1.8593407927015326,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_2_3_3_3,1.751563308076554,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_3_2_2_2,2.0906122649715972,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_3_2_2_3,1.7798583546276578,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_3_2_3_2,6.490864629089705,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_3_2_3_3,8.030080416371227,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_3_3_2_2,2.01954258819065,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_3_3_2_3,1.8275254110874108,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_3_3_3_2,8.763438837583895,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_3_3_3_3,5.507285184767768,0.0
reversing_hierarchy,0.1,reversal_detector,,,Rubix_3_3_3_4,2.7331392634622116,0.0
reversing_hierarchy,0.1,hdbscan,,,Rubix_2_3_2,2.195568550642576,0.0
reversing_hierarchy,0.1,hdbscan,,,Rubix_2_3_3,1.8492895213604874,0.0
reversing_hierarchy,0.1,hdbscan,,,Rubix_3_3_2,9.312506765304947,0.0
reversing_hierarchy,0.1,hdbscan,,,Rubix_3_3_3,9.775281869602866,0.0
reversing_hierarchy,0.1,hdbscan,,,Rubix_4_2_2,3.5436852990406424,0.0
reversing_hierarchy,0.1,hdbscan,,,Rubix_4_2_3,1.6885675881935223,0.0
reversing_hierarchy,0.1,hdbscan,,,Rubix_4_3_2,7.615729685305859,0.0
reversing_hierarchy,0.1,hdbscan,,,Rubix_4_3_3,5.820678270866097,0.0
reversing_hierarchy,0.1,hdbscan,,,Rubix_5_3_2,2.897475769819759,0.0
reversing_hierarchy,0.1,hdbscan,,,Rubix_5_3_3,2.0222703656150838,0.0
reversing_hierarchy,5.0,reversal_detector,,,Rubix_3_2_2,37.06976369613983,0.24098458775998804
reversing_hierarchy,5.0,reversal_detector,,,Rubix_3_2_3,38.81474273329712,0.2811900927842957
reversing_hierarchy,5.0,hdbscan,,,Rubix_2,32.37878492847167,0.18491179201485608
reversing_hierarchy,5.0,hdbscan,,,Rubix_3,32.92280067962144,0.1429002261874843
reversing_hierarchy,5.0,hdbscan,,,Rubix_4,34.878484219607,0.19663174026752844
reversing_hierarchy,5.0,hdbscan,,,Rubix_5,32.32408911645642,0.17160555834588984
node_distance,0.1,reversal_detector,,,Rubix_2_2,7.672775919134791,0.0
node_distance,0.1,reversal_detector,,,Rubix_2_3,6.906918563168773,0.0
node_distance,0.1,reversal_detector,,,Rubix_2_4,7.3929944275299295,0.0
node_distance,0.1,reversal_detector,,,Rubix_2_5,6.5735201817679965,0.0
node_distance,0.1,reversal_detector,,,Rubix_3_2,7.404848123480645,0.0
node_distance,0.1,reversal_detector,,,Rubix_3_3,5.731784280857527,0.0
node_distance,0.1,reversal_detector,,,Rubix_3_4,7.103194466474597,0.0
node_distance,0.1,reversal_detector,,,Rubix_3_5,7.400210388011621,0.0
node_distance,0.1,reversal_detector,,,Rubix_4_2,5.183928357320589,0.0
node_distance,0.1,reversal_detector,,,Rubix_4_3,7.328004175294203,0.0
node_distance,0.1,reversal_detector,,,Rubix_4_4,4.268458344646994,0.0
node_distance,0.1,reversal_detector,,,Rubix_4_5,7.416689019744399,0.0
node_distance,0.1,reversal_detector,,,Rubix_5_2,7.330171539399959,0.0
node_distance,0.1,reversal_detector,,,Rubix_5_3,3.868322961518993,0.0
node_distance,0.1,reversal_detector,,,Rubix_5_4,7.583406490949801,0.0
node_distance,0.1,reversal_detector,,,Rubix_5_5,5.380922089852834,0.0
node_distance,0.1,hdbscan,,,Rubix_2_2,9.238896946020912,0.09808612440191387
node_distance,0.1,hdbscan,,,Rubix_2_3,12.69941894808255,0.003995006242197253
node_distance,0.1,hdbscan,,,Rubix_2_4,6.008740456151719,0.0
node_distance,0.1,hdbscan,,,Rubix_5_2,3.410261488102623,0.0
node_distance,0.1,hdbscan,,,Rubix_5_3,3.0199164760844073,0.0
node_distance,0.1,hdbscan,,,Rubix_5_4,3.737540754794713,0.0
node_distance,5.0,reversal_detector,,,Rubix_2_2,37.55454649333702,0.5067901234567901
node_distance,5.0,reversal_detector,,,Rubix_2_3,35.44684406056753,0.3731481481481481
node_distance,5.0,reversal_detector,,,Rubix_2_4,36.04901690305454,0.39290123456790127
node_distance,5.0,reversal_detector,,,Rubix_2_5,34.91240370557381,0.45092592592592595
node_distance,5.0,reversal_detector,,,Rubix_3_2,33.86196425882524,0.45524691358024694
node_distance,5.0,reversal_detector,,,Rubix_3_3,39.101452183579866,0.4067901234567901
node_distance,5.0,reversal_detector,,,Rubix_3_4,36.166881366780714,0.4126543209876543
node_distance,5.0,reversal_detector,,,Rubix_3_5,36.29829741691886,0.3614197530864197
node_distance,5.0,reversal_detector,,,Rubix_4_2,39.720746547999646,0.45709876543209876
node_distance,5.0,reversal_detector,,,Rubix_4_3,36.56128613346291,0.47098765432098766
node_distance,5.0,reversal_detector,,,Rubix_4_4,35.007399349682416,0.3824074074074074
node_distance,5.0,reversal_detector,,,Rubix_4_5,36.19382902636815,0.4632716049382716
node_distance,5.0,reversal_detector,,,Rubix_5_2,41.72378348546202,0.4188271604938272
node_distance,5.0,reversal_detector,,,Rubix_5_3,36.83870065228818,0.3827160493827161
node_distance,5.0,reversal_detector,,,Rubix_5_4,33.768542112742566,0.41512345679012347
node_distance,5.0,reversal_detector,,,Rubix_5_5,37.03196429042663,0.44598765432098764
node_distance,5.0,hdbscan,,,Rubix_2,49.51870898041573,1.0004282359441912
node_distance,5.0,hdbscan,,,Rubix_3,50.40950020371449,0.9973794778172798
node_distance,5.0,hdbscan,,,Rubix_4,54.32955025513047,0.9737883068898066
node_distance,5.0,hdbscan,,,Rubix_5,52.244804833607326,0.9784965545105608
